# <tech>,<mode>
# tech: tech label
# mode: research mode character, one of:
#    w - weapon
#    n - engine
#    e - empire
#
# ex:
# IND_CruisCon,e
# IND_CruisCon,w
# ^ IND_CruisCon is in weapon and empire research modes
#
# The way this is supposed to work according to forums is:
#   From all rolled techs > filter based on the tech mode > specific purpose tech groups > finally aitechprio.csv
#
# TODO: it doesn't look like this is completely free of hard-coded nonsense. AI still targets:
#       Battle Computers, VRF, PolySilicate, Reflective Coating, Green Lasers, Shaped Nuke, Sensor Jammers, Mass Driver... (and more) too early
# it seems like the AI is randomly switching into weapon mode without a reason to
# OR  the AI has some sort of hidden mode for "starter" techs, and persues those most of the time.
#
# NOTE: we hope that when a tech is specified in this file it overwrites whatever hard coded values exist (since there is no way to UN-group a tech)

# Testing tech for AI specific features
#TST_NONE,e
#TST_NONE,w
#TST_NONE,n

# TODO: Find any other hidden requirements on techs and adjust categorization appropriately

# Core Gateway technologies, all 3 modes
DRV_Fusn,e
DRV_Fusn,n
DRV_Fusn,w
DRV_AntiMat,e
DRV_AntiMat,n
DRV_AntiMat,w

# also pulsed fission because it effects tactical & strategic as well as empire expansion rate
DRV_PlsFiss,e
DRV_PlsFiss,n
DRV_PlsFiss,w

# Lead to Larger Ships (e & w)
IND_Waldo,e
IND_OrbFound,e
IND_OrbDry,e
IND_HvyPlat,e
IND_Waldo,w
IND_OrbFound,w
IND_OrbDry,w
IND_HvyPlat,w
# Listed here because it gateways Asteroid Mining
IND_SlvgTech,e
IND_SlvgTech,w

# Easy Cheap range/speed increases (e & n)
DRV_LRFiss,e
DRV_RecFiss,e
DRV_PlsmFoc,e
DRV_LRFusn,e
DRV_LRFiss,n
DRV_RecFiss,n
DRV_PlsmFoc,n
DRV_LRFusn,n


##########################
# engines (n)

#DRV_Fissn  # root engines

#DRV_Rmscps,n       # AI should probably avoid this, too specialized?

#DRV_Node,n
DRV_NodFoc,n
DRV_NodPath,n
DRV_NodFoc,e
DRV_NodPath,e
DRV_NodFoc,w
DRV_NodPath,w

#DRV_Rip,n
DRV_Rend,n
DRV_Rad,n

#DRV_Hyper,n
DRV_HyprFld,n
DRV_Warp,n
DRV_HyprFld,e
DRV_Warp,e
DRV_HyprFld,w
DRV_Warp,w

#DRV_StrWrp,n
DRV_ImpStWrp,n
DRV_Flicker,n
DRV_ImpStWrp,e
DRV_Flicker,e
DRV_ImpStWrp,w
DRV_Flicker,w

#DRV_TpGate,n
DRV_GatAmp,n
DRV_FarCast,n

#DRV_VdCtr,n
DRV_VdCrv,n
DRV_VdMstr,n
DRV_VdCrv,e
DRV_VdMstr,e
DRV_VdCrv,w
DRV_VdMstr,w
DRV_GrvSyn,n

##########################
# empire (e)

IND_AstMine,e
IND_MsMine,e
IND_EleNans,e
IND_GravCon,e
IND_MegFrght,e
IND_ModCon,e
IND_DSCon,e
IND_OrbCom,e
IND_ArcCon,e
# Not really useful for weapon systems, but 
IND_TrctBm,e
# atmospheric processing
IND_AtProc,e
# zero-g deconstruction, (I don't think AI scraps any ships, so leave it alone)
#IND_DeCon,e

IND_CyberInt,e
IND_ExpSys,e

DRN_AdvRob,e

BIO_GnMod,e
BIO_SpndAni,e
BIO_Btrans,e
BIO_AtmoAd,e
BIO_TerBac,e
BIO_EnvTail,e
BIO_GrvAdpt,e

CCC_FTLBrdB,e
CCC_FTLEcon,e


##########################
# weapons (w)

BIO_Plg,w
BIO_PlgVac,w
BIO_RtPlg,w
BIO_RtPlgVac,w
BIO_Bst,w
BIO_BstVac,w
#BIO_AsPlg,w       # removed in phase 1
#BIO_AsPlgVac,w    # removed in phase 1
BIO_UniAnti,w
BIO_NanVir,w
BIO_ConNan,w
BIO_SmrtNan,w

#WEP_RedLas # starter laser
WEP_GrnLas,w
WEP_UvLas,w
WEP_XryLas,w
WEP_GrnBmr,w
WEP_UvBmr,w

WEP_LtEmitr,w
WEP_Emitr,w
WEP_HvyEmitr,w

WEP_PlsmCan,w
WEP_HvyPCan,w
WEP_FusCan,w
WEP_HvyFCan,w
WEP_AmCan,w
WEP_HvyACan,w
WEP_IntCan,w
WEP_HvyIntCan,w

WEP_PlsmProj,w
